Job Title,Job Description,Skills,Certifications
Admin Big Data,"Responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. Requires expertise in Hadoop, Spark, and data warehousing solutions.","AWS, Azure, Big Data Architecture, Cloud Computing, Data Governance, Data Lakes, Data Modeling, Data Warehousing, ETL, Excel, Hadoop, Hive, Kafka, MapReduce, Matplotlib, NoSQL, NumPy, Pandas, Power BI, Python, SQL, Scala, Seaborn, Security, Spark, Tableau","Cloudera Certified Professional (CCP), Hortonworks Certified Associate (HCA), AWS Certified Big Data â Specialty"
Ansible Operations Engineer,"Focuses on automating IT processes using Ansible. Responsibilities include writing playbooks, managing configurations, and ensuring system reliability.","AWS, Ansible, Automation, CI/CD, Cloud Platforms, Docker, Infrastructure as Code, Kubernetes, Linux, Networking, Python, Scripting, Terraform","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer â Professional"
Artifactory Administrator,"Manages the Artifactory repository for build artifacts. Responsibilities include configuring repositories, managing access permissions, and integrating with CI/CD pipelines.","Artifactory, Build Automation, CI/CD, Cloud Computing, Docker, Git, Gradle, JFrog CLI, Jenkins, Linux, Maven, Version Control","JFrog Artifactory Certification, DevOps Institute Certifications"
Artificial Intelligence / Machine Learning Leader,"Leads AI/ML projects and teams, defining strategy and overseeing implementation. Requires strong leadership skills and knowledge of AI technologies.","AI Strategy, Budgeting, Cloud Computing, Communication, Data Science, Deep Learning, Keras, Machine Learning, NumPy, Pandas, Project Management, Python, Scikit-learn, Stakeholder Management, Team Management, TensorFlow","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Artificial Intelligence / Machine Learning Sr.Leader,"Senior role overseeing multiple AI/ML initiatives. Responsible for strategic planning, team management, and ensuring alignment with business goals.","AI Strategy, Budgeting, Cloud Computing, Communication, Data Science, Deep Learning, Innovation, Keras, Machine Learning, Mentoring, NumPy, Pandas, Project Management, Python, Scikit-learn, Stakeholder Management, Team Management, TensorFlow","Certified Artificial Intelligence Practitioner (CAIP), AI-900: Microsoft Azure AI Fundamentals"
Artificial intelligence Architect,"Designs AI systems and architecture. Responsible for selecting appropriate technologies, ensuring scalability, and integrating AI solutions into existing systems.","AI Architecture, AWS, Azure, Cloud Computing, Data Science, Deep Learning, Machine Learning, Model Deployment, Scalability, Security, System Design","Google Cloud Professional Machine Learning Engineer, AWS Certified Solutions Architect â Professional"
Artificial Intelligence Researcher,Conducts research in AI to develop new algorithms and models. Publishes findings in scientific journals and collaborates with academic institutions.,"Algorithm Design, Data Analysis, Deep Learning, Machine Learning, PyTorch, Python, Research Methods, Scientific Writing, Statistical Analysis, TensorFlow","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Big Data Architect,"Designs big data solutions and architecture. Responsible for data modeling, ETL processes, and ensuring the performance of big data systems.","AWS, Azure, Cloud Computing, Data Governance, Data Lakes, Data Modeling, Data Warehousing, ETL, Excel, Hadoop, Hive, Kafka, MapReduce, Matplotlib, NoSQL, NumPy, Pandas, Power BI, Python, SQL, Scala, Seaborn, Security, Spark, Tableau","Cloudera Certified Data Architect, AWS Certified Solutions Architect â Associate"
Big Data Engineer,"Builds and maintains big data pipelines. Responsible for data ingestion, transformation, and storage using technologies like Hadoop and Spark.","AWS, Cloud Computing, Data Pipelines, Data Warehousing, ETL, Excel, Hadoop, Hive, Java, Kafka, Matplotlib, NoSQL, NumPy, Pandas, Power BI, Python, SQL, Scala, Seaborn, Spark, Tableau","Google Cloud Professional Data Engineer, AWS Certified Big Data â Specialty"
Big Data Specialist,Analyzes large datasets to extract insights. Requires knowledge of statistical analysis tools and big data technologies.,"AWS, Cloud Computing, Data Analysis, Data Mining, Data Modeling, Data Visualization, ETL, Excel, Hadoop, Hive, Kafka, Matplotlib, NoSQL, NumPy, Pandas, Power BI, Python, SQL, Scala, Seaborn, Spark, Statistical Analysis, Tableau","Certified Big Data Analytics (CBDA), IBM Certified Data Engineer - Big Data"
